,iteration,path_expanded,nb_expanded,node_expanded,score
0,1,3-outgoing-http://www.wikidata.org/entity/Q8690;http://www.wikidata.org/prop/direct/P31,1,['http://www.wikidata.org/entity/Q8690'],2
1,2,3-ingoing-http://www.wikidata.org/prop/direct/P31;http://www.wikidata.org/entity/Q10931,2,"['http://www.wikidata.org/entity/Q15815670', 'http://www.wikidata.org/entity/Q10931']",21
2,3,3-ingoing-http://www.wikidata.org/prop/direct/P1344;http://www.wikidata.org/entity/Q214426,20,"['http://www.wikidata.org/entity/Q101534', 'http://www.wikidata.org/entity/Q190517', 'http://www.wikidata.org/entity/Q7318712', 'http://www.wikidata.org/entity/Q690959', 'http://www.wikidata.org/entity/Q3458267', 'http://www.wikidata.org/entity/Q1332160', 'http://www.wikidata.org/entity/Q1341539', 'http://www.wikidata.org/entity/Q2603206', 'http://www.wikidata.org/entity/Q3699', 'http://www.wikidata.org/entity/Q6499967', 'http://www.wikidata.org/entity/Q1331281', 'http://www.wikidata.org/entity/Q2620180', 'http://www.wikidata.org/entity/Q170306', 'http://www.wikidata.org/entity/Q1982745', 'http://www.wikidata.org/entity/Q204213', 'http://www.wikidata.org/entity/Q214426', 'http://www.wikidata.org/entity/Q20088734', 'http://www.wikidata.org/entity/Q1822923', 'http://www.wikidata.org/entity/Q17015429', 'http://www.wikidata.org/entity/Q2584397']",15
3,4,3-ingoing-http://www.wikidata.org/prop/direct/P31;http://www.wikidata.org/entity/Q15815670,15,"['http://www.wikidata.org/entity/Q5666722', 'http://www.wikidata.org/entity/Q5707467', 'http://www.wikidata.org/entity/Q5923921', 'http://www.wikidata.org/entity/Q5952428', 'http://www.wikidata.org/entity/Q5799566', 'http://www.wikidata.org/entity/Q10982738', 'http://www.wikidata.org/entity/Q5939205', 'http://www.wikidata.org/entity/Q5992602', 'http://www.wikidata.org/entity/Q6002758', 'http://www.wikidata.org/entity/Q5698547', 'http://www.wikidata.org/entity/Q5938882', 'http://www.wikidata.org/entity/Q5944500', 'http://www.wikidata.org/entity/Q6042215', 'http://www.wikidata.org/entity/Q6161256', 'http://www.wikidata.org/entity/Q5831190']",8
4,5,3-ingoing-http://www.wikidata.org/prop/direct/P361;http://www.wikidata.org/entity/Q1332160,7,"['http://www.wikidata.org/entity/Q5691452', 'http://www.wikidata.org/entity/Q24932957', 'http://www.wikidata.org/entity/Q16973221', 'http://www.wikidata.org/entity/Q2825942', 'http://www.wikidata.org/entity/Q422483', 'http://www.wikidata.org/entity/Q17024830', 'http://www.wikidata.org/entity/Q3687154']",8
5,6,3-outgoing-http://www.wikidata.org/entity/Q422483;http://www.wikidata.org/prop/direct/P248,8,"['http://www.wikidata.org/entity/Q5471529', 'http://www.wikidata.org/entity/Q15631408', 'http://www.wikidata.org/entity/Q19637859', 'http://www.wikidata.org/entity/Q3354066', 'http://www.wikidata.org/entity/Q19637862', 'http://www.wikidata.org/entity/Q4535736', 'http://www.wikidata.org/entity/Q7891770', 'http://www.wikidata.org/entity/Q21003542']",8
6,7,3-outgoing-http://www.wikidata.org/entity/Q422483;http://www.wikidata.org/prop/direct/P279,8,"['http://www.wikidata.org/entity/Q28739539', 'http://www.wikidata.org/entity/Q846596', 'http://www.wikidata.org/entity/Q1500919', 'http://www.wikidata.org/entity/Q21008407', 'http://www.wikidata.org/entity/Q21034576', 'http://www.wikidata.org/entity/Q856483', 'http://www.wikidata.org/entity/Q1684093', 'http://www.wikidata.org/entity/Q2496322']",7
7,8,3-outgoing-http://www.wikidata.org/entity/Q1500919;http://www.wikidata.org/prop/direct/P131,7,"['http://www.wikidata.org/entity/Q17392265', 'http://www.wikidata.org/entity/Q19589070', 'http://www.wikidata.org/entity/Q8425693', 'http://www.wikidata.org/entity/Q8549527', 'http://www.wikidata.org/entity/Q16796753', 'http://www.wikidata.org/entity/Q8386092', 'http://www.wikidata.org/entity/Q8288087']",7
8,9,3-ingoing-http://www.wikidata.org/prop/direct/P1001;http://www.wikidata.org/entity/Q1055,7,"['http://www.wikidata.org/entity/Q1205', 'http://www.wikidata.org/entity/Q1194', 'http://www.wikidata.org/entity/Q1196', 'http://www.wikidata.org/entity/Q1206', 'http://www.wikidata.org/entity/Q1197', 'http://www.wikidata.org/entity/Q1055', 'http://www.wikidata.org/entity/Q24879']",196
9,10,3-ingoing-http://www.wikidata.org/prop/direct/P131;http://www.wikidata.org/entity/Q24879,196,"['http://www.wikidata.org/entity/Q16102067', 'http://www.wikidata.org/entity/Q20191492', 'http://www.wikidata.org/entity/Q15827661', 'http://www.wikidata.org/entity/Q15860153', 'http://www.wikidata.org/entity/Q18820391', 'http://www.wikidata.org/entity/Q15827724', 'http://www.wikidata.org/entity/Q19362169', 'http://www.wikidata.org/entity/Q882239', 'http://www.wikidata.org/entity/Q15827666', 'http://www.wikidata.org/entity/Q15827688', 'http://www.wikidata.org/entity/Q20191493', 'http://www.wikidata.org/entity/Q15827683', 'http://www.wikidata.org/entity/Q18667993', 'http://www.wikidata.org/entity/Q316492', 'http://www.wikidata.org/entity/Q15827706', 'http://www.wikidata.org/entity/Q2269751', 'http://www.wikidata.org/entity/Q882749', 'http://www.wikidata.org/entity/Q15827668', 'http://www.wikidata.org/entity/Q19360355', 'http://www.wikidata.org/entity/Q8967482', 'http://www.wikidata.org/entity/Q1360898', 'http://www.wikidata.org/entity/Q854388', 'http://www.wikidata.org/entity/Q15827682', 'http://www.wikidata.org/entity/Q15827705', 'http://www.wikidata.org/entity/Q15827709', 'http://www.wikidata.org/entity/Q15827749', 'http://www.wikidata.org/entity/Q15827756', 'http://www.wikidata.org/entity/Q1672423', 'http://www.wikidata.org/entity/Q15827701', 'http://www.wikidata.org/entity/Q2269722', 'http://www.wikidata.org/entity/Q1021438', 'http://www.wikidata.org/entity/Q18667995', 'http://www.wikidata.org/entity/Q2269705', 'http://www.wikidata.org/entity/Q15827662', 'http://www.wikidata.org/entity/Q1021441', 'http://www.wikidata.org/entity/Q15827673', 'http://www.wikidata.org/entity/Q18820446', 'http://www.wikidata.org/entity/Q15827714', 'http://www.wikidata.org/entity/Q15827695', 'http://www.wikidata.org/entity/Q15827744', 'http://www.wikidata.org/entity/Q15827740', 'http://www.wikidata.org/entity/Q15827689', 'http://www.wikidata.org/entity/Q1650674', 'http://www.wikidata.org/entity/Q26347189', 'http://www.wikidata.org/entity/Q15827718', 'http://www.wikidata.org/entity/Q15827667', 'http://www.wikidata.org/entity/Q15827711', 'http://www.wikidata.org/entity/Q15827743', 'http://www.wikidata.org/entity/Q15827731', 'http://www.wikidata.org/entity/Q15827684', 'http://www.wikidata.org/entity/Q15827765', 'http://www.wikidata.org/entity/Q15827713', 'http://www.wikidata.org/entity/Q1843021', 'http://www.wikidata.org/entity/Q15827674', 'http://www.wikidata.org/entity/Q15827747', 'http://www.wikidata.org/entity/Q18820352', 'http://www.wikidata.org/entity/Q15827672', 'http://www.wikidata.org/entity/Q15827669', 'http://www.wikidata.org/entity/Q15827748', 'http://www.wikidata.org/entity/Q15827738', 'http://www.wikidata.org/entity/P1822', 'http://www.wikidata.org/entity/Q15827764', 'http://www.wikidata.org/entity/Q19802169', 'http://www.wikidata.org/entity/Q15827742', 'http://www.wikidata.org/entity/Q15827757', 'http://www.wikidata.org/entity/Q20196404', 'http://www.wikidata.org/entity/Q2269793', 'http://www.wikidata.org/entity/Q15827707', 'http://www.wikidata.org/entity/Q15827733', 'http://www.wikidata.org/entity/Q18820364', 'http://www.wikidata.org/entity/Q18820392', 'http://www.wikidata.org/entity/Q15827690', 'http://www.wikidata.org/entity/Q1645261', 'http://www.wikidata.org/entity/Q15827717', 'http://www.wikidata.org/entity/Q15827725', 'http://www.wikidata.org/entity/Q15827675', 'http://www.wikidata.org/entity/Q645967', 'http://www.wikidata.org/entity/Q15827660', 'http://www.wikidata.org/entity/Q15827741', 'http://www.wikidata.org/entity/Q2269702', 'http://www.wikidata.org/entity/Q18750360', 'http://www.wikidata.org/entity/Q1362118', 'http://www.wikidata.org/entity/Q1767040', 'http://www.wikidata.org/entity/Q19480518', 'http://www.wikidata.org/entity/Q606761', 'http://www.wikidata.org/entity/Q15827726', 'http://www.wikidata.org/entity/Q1021440', 'http://www.wikidata.org/entity/Q15827721', 'http://www.wikidata.org/entity/Q15827681', 'http://www.wikidata.org/entity/Q20194737', 'http://www.wikidata.org/entity/Q15827728', 'http://www.wikidata.org/entity/Q15827702', 'http://www.wikidata.org/entity/Q2269760', 'http://www.wikidata.org/entity/Q15827736', 'http://www.wikidata.org/entity/Q9005754', 'http://www.wikidata.org/entity/Q15827698', 'http://www.wikidata.org/entity/Q1643551', 'http://www.wikidata.org/entity/Q15827715', 'http://www.wikidata.org/entity/Q27661212', 'http://www.wikidata.org/entity/Q15827664', 'http://www.wikidata.org/entity/Q1275047', 'http://www.wikidata.org/entity/Q15827676', 'http://www.wikidata.org/entity/Q477155', 'http://www.wikidata.org/entity/Q854185', 'http://www.wikidata.org/entity/Q2269727', 'http://www.wikidata.org/entity/Q15827771', 'http://www.wikidata.org/entity/Q15827739', 'http://www.wikidata.org/entity/Q15827716', 'http://www.wikidata.org/entity/Q15827663', 'http://www.wikidata.org/entity/Q15827719', 'http://www.wikidata.org/entity/Q15827697', 'http://www.wikidata.org/entity/Q19480505', 'http://www.wikidata.org/entity/Q15827730', 'http://www.wikidata.org/entity/Q15827750', 'http://www.wikidata.org/entity/Q2269826', 'http://www.wikidata.org/entity/Q15827686', 'http://www.wikidata.org/entity/Q15827696', 'http://www.wikidata.org/entity/Q15827758', 'http://www.wikidata.org/entity/Q1639317', 'http://www.wikidata.org/entity/Q1242863', 'http://www.wikidata.org/entity/Q15827732', 'http://www.wikidata.org/entity/Q15827769', 'http://www.wikidata.org/entity/Q15827680', 'http://www.wikidata.org/entity/Q15827723', 'http://www.wikidata.org/entity/Q20192018', 'http://www.wikidata.org/entity/Q1441843', 'http://www.wikidata.org/entity/Q23788050', 'http://www.wikidata.org/entity/Q15827762', 'http://www.wikidata.org/entity/Q15827700', 'http://www.wikidata.org/entity/Q15827745', 'http://www.wikidata.org/entity/Q15827746', 'http://www.wikidata.org/entity/Q18750419', 'http://www.wikidata.org/entity/Q2269719', 'http://www.wikidata.org/entity/Q15827699', 'http://www.wikidata.org/entity/Q2269821', 'http://www.wikidata.org/entity/Q15827770', 'http://www.wikidata.org/entity/Q26313638', 'http://www.wikidata.org/entity/Q19480509', 'http://www.wikidata.org/entity/Q15827703', 'http://www.wikidata.org/entity/Q20192011', 'http://www.wikidata.org/entity/Q1843027', 'http://www.wikidata.org/entity/Q19480515', 'http://www.wikidata.org/entity/Q20194469', 'http://www.wikidata.org/entity/Q18820351', 'http://www.wikidata.org/entity/Q21012703', 'http://www.wikidata.org/entity/Q15827734', 'http://www.wikidata.org/entity/Q1727745', 'http://www.wikidata.org/entity/Q15827729', 'http://www.wikidata.org/entity/Q15827677', 'http://www.wikidata.org/entity/Q15827768', 'http://www.wikidata.org/entity/Q15827704', 'http://www.wikidata.org/entity/Q1621446', 'http://www.wikidata.org/entity/Q15827665', 'http://www.wikidata.org/entity/Q2269755', 'http://www.wikidata.org/entity/Q15827671', 'http://www.wikidata.org/entity/Q15827763', 'http://www.wikidata.org/entity/Q15827679', 'http://www.wikidata.org/entity/Q636377', 'http://www.wikidata.org/entity/Q2269633', 'http://www.wikidata.org/entity/Q1592825', 'http://www.wikidata.org/entity/Q15827659', 'http://www.wikidata.org/entity/Q26346987', 'http://www.wikidata.org/entity/Q15827727', 'http://www.wikidata.org/entity/Q20193673', 'http://www.wikidata.org/entity/Q15827691', 'http://www.wikidata.org/entity/Q15827692', 'http://www.wikidata.org/entity/Q15827752', 'http://www.wikidata.org/entity/Q18820363', 'http://www.wikidata.org/entity/Q15827722', 'http://www.wikidata.org/entity/Q1843022', 'http://www.wikidata.org/entity/Q15827687', 'http://www.wikidata.org/entity/Q2269779', 'http://www.wikidata.org/entity/Q18820407', 'http://www.wikidata.org/entity/Q1491811', 'http://www.wikidata.org/entity/Q18750358', 'http://www.wikidata.org/entity/Q15827685', 'http://www.wikidata.org/entity/Q15827670', 'http://www.wikidata.org/entity/Q2269795', 'http://www.wikidata.org/entity/Q15827710', 'http://www.wikidata.org/entity/Q15827712', 'http://www.wikidata.org/entity/Q15827754', 'http://www.wikidata.org/entity/Q15827760', 'http://www.wikidata.org/entity/Q15827767', 'http://www.wikidata.org/entity/Q15827759', 'http://www.wikidata.org/entity/Q15827693', 'http://www.wikidata.org/entity/Q836344', 'http://www.wikidata.org/entity/Q15827694', 'http://www.wikidata.org/entity/Q15827751', 'http://www.wikidata.org/entity/Q15827772', 'http://www.wikidata.org/entity/Q15827766', 'http://www.wikidata.org/entity/Q1381746', 'http://www.wikidata.org/entity/Q15827735', 'http://www.wikidata.org/entity/Q15827678', 'http://www.wikidata.org/entity/Q15827753', 'http://www.wikidata.org/entity/Q15827737', 'http://www.wikidata.org/entity/Q15827761']",176
